ruta,distancia
A-E-C-B-D-A,47
A-D-E-C-B-A,47
A-B-D-E-C-A,42
A-E-D-C-B-A,69
A-D-C-B-E-A,64
A-E-C-D-B-A,51
A-C-D-B-E-A,59
A-B-D-E-C-A,42
A-E-D-C-B-A,69
A-C-D-B-E-A,59
A-D-C-E-B-A,46
A-B-E-D-C-A,59
A-E-D-B-C-A,60
A-C-E-D-B-A,42
A-D-C-E-B-A,46
A-D-C-B-E-A,64
A-E-B-C-D-A,64
A-B-D-E-C-A,42
A-E-D-B-C-A,60
A-B-D-C-E-A,51
A-D-B-E-C-A,37
A-C-E-D-B-A,42
A-E-B-C-D-A,64
A-C-D-E-B-A,59
A-E-C-D-B-A,51
A-C-D-B-E-A,59
A-B-C-D-E-A,69
A-B-E-C-D-A,46
A-C-D-E-B-A,59
A-B-E-C-D-A,46
A-D-B-C-E-A,47
A-E-D-C-B-A,69
A-B-C-D-E-A,69
A-E-C-D-B-A,51
A-D-C-E-B-A,46
A-B-D-E-C-A,42
A-B-E-D-C-A,59
A-E-D-B-C-A,60
A-C-E-B-D-A,37
A-E-B-D-C-A,59
A-C-D-E-B-A,59
A-D-E-B-C-A,55
A-E-B-D-C-A,59
A-D-B-E-C-A,37
A-C-B-D-E-A,60
A-B-C-E-D-A,47
A-B-D-C-E-A,51
A-E-B-D-C-A,59
A-D-E-B-C-A,55
A-C-E-D-B-A,42
A-B-E-C-D-A,46
A-B-C-E-D-A,47
A-C-D-B-E-A,59
A-D-C-B-E-A,64
A-B-D-E-C-A,42
A-B-D-E-C-A,42
A-B-D-E-C-A,42
A-B-E-D-C-A,59
A-D-C-E-B-A,46
A-D-C-E-B-A,46
A-C-E-B-D-A,37
A-D-C-E-B-A,46
A-C-E-D-B-A,42
A-B-D-E-C-A,42
A-E-C-B-D-A,47
A-E-D-B-C-A,60
A-B-C-E-D-A,47
A-C-D-E-B-A,59
A-D-E-C-B-A,47
A-C-E-B-D-A,37
A-B-C-D-E-A,69
A-D-B-E-C-A,37
A-B-C-D-E-A,69
A-E-B-D-C-A,59
A-B-E-C-D-A,46
A-B-D-E-C-A,42
A-D-B-E-C-A,37
A-D-C-E-B-A,46
A-D-B-E-C-A,37
A-B-D-E-C-A,42
A-B-D-E-C-A,42
A-B-D-E-C-A,42
A-D-B-E-C-A,37
A-C-B-D-E-A,60
A-B-C-E-D-A,47
A-E-B-C-D-A,64
A-B-E-D-C-A,59
A-B-D-E-C-A,42
A-D-B-E-C-A,37
A-B-D-E-C-A,42
A-D-C-E-B-A,46
A-E-B-C-D-A,64
A-D-C-E-B-A,46
A-E-C-D-B-A,51
A-E-B-C-D-A,64
A-B-D-E-C-A,42
A-B-D-E-C-A,42
A-C-D-E-B-A,59
A-C-B-E-D-A,55
A-B-D-E-C-A,42
A-E-C-B-D-A,47
A-B-D-E-C-A,42
A-D-B-E-C-A,37
A-C-B-E-D-A,55
A-B-E-D-C-A,59
A-D-E-C-B-A,47
A-B-D-E-C-A,42
A-B-D-E-C-A,42
A-D-B-E-C-A,37
A-B-D-E-C-A,42
A-E-C-B-D-A,47
A-C-E-B-D-A,37
A-B-E-C-D-A,46
A-E-C-B-D-A,47
A-E-C-B-D-A,47
A-B-D-E-C-A,42
A-D-B-E-C-A,37
A-C-B-E-D-A,55
A-E-B-D-C-A,59
A-B-D-E-C-A,42
A-D-B-E-C-A,37
A-C-E-B-D-A,37
A-E-C-B-D-A,47
A-D-B-E-C-A,37
A-E-B-C-D-A,64
A-D-B-E-C-A,37
A-C-E-B-D-A,37
A-D-B-E-C-A,37
A-C-E-B-D-A,37
A-C-D-B-E-A,59
A-D-C-E-B-A,46
A-C-E-B-D-A,37
A-C-E-B-D-A,37
A-D-C-B-E-A,64
A-E-C-B-D-A,47
A-E-B-C-D-A,64
A-B-E-D-C-A,59
A-B-D-E-C-A,42
A-C-E-B-D-A,37
A-D-B-E-C-A,37
A-D-B-E-C-A,37
A-B-D-E-C-A,42
A-D-B-E-C-A,37
A-D-B-E-C-A,37
A-B-D-E-C-A,42
A-C-E-B-D-A,37
A-B-E-D-C-A,59
A-C-E-B-D-A,37
A-E-C-B-D-A,47
A-B-C-D-E-A,69
A-D-B-E-C-A,37
A-E-B-C-D-A,64
A-D-B-E-C-A,37
A-D-B-E-C-A,37
A-C-E-D-B-A,42
A-D-B-C-E-A,47
A-B-D-E-C-A,42
A-D-B-E-C-A,37
A-C-E-B-D-A,37
A-D-B-E-C-A,37
A-D-B-E-C-A,37
A-B-D-C-E-A,51
A-C-E-B-D-A,37
A-D-B-E-C-A,37
A-D-B-E-C-A,37
A-D-B-E-C-A,37
A-E-C-B-D-A,47
A-C-E-B-D-A,37
A-D-B-E-C-A,37
A-C-E-B-D-A,37
A-D-B-E-C-A,37
A-B-C-E-D-A,47
A-E-D-B-C-A,60
A-D-B-E-C-A,37
A-D-B-E-C-A,37
A-C-E-B-D-A,37
A-D-B-E-C-A,37
A-C-E-B-D-A,37
A-C-E-B-D-A,37
A-E-C-B-D-A,47
A-D-B-E-C-A,37
A-D-B-E-C-A,37
A-C-E-B-D-A,37
A-C-E-B-D-A,37
A-D-B-E-C-A,37
A-C-E-B-D-A,37
A-E-C-B-D-A,47
A-D-B-E-C-A,37
A-D-B-E-C-A,37
A-C-D-B-E-A,59
A-B-C-E-D-A,47
A-E-D-B-C-A,60
A-D-B-E-C-A,37
A-D-B-E-C-A,37
A-D-B-E-C-A,37
A-D-B-E-C-A,37
A-D-B-E-C-A,37
A-D-B-E-C-A,37
A-B-D-E-C-A,42
A-E-C-B-D-A,47
A-D-B-E-C-A,37
A-D-B-E-C-A,37
A-D-B-E-C-A,37
A-C-E-B-D-A,37
A-D-B-E-C-A,37
A-C-E-B-D-A,37
A-E-C-B-D-A,47
A-B-D-E-C-A,42
A-C-E-D-B-A,42
A-D-B-E-C-A,37
A-D-B-E-C-A,37
A-D-C-E-B-A,46
A-B-C-E-D-A,47
A-C-D-B-E-A,59
